type,quote
"positive","ए दोस्त अब क्या लिखूं तेरी तारीफ में, बड़ा खास है तू मेरी जिंदगी में। "
"positive","जो गिरकर संभल जाता है, वह अक्सर जिंदगी को समझ जाता है। "
"positive","नहीं मिला कोई तुम्हारे जैसा आज तक भी पर तकलीफ इस बात की है, मिले तुम भी नहीं। "
"attitude","शरीफ़ थे तो नहीं बोले, अगर थोड़े भी बेशर्म होते…बराबर की टक्कर देते"
"attitude","जो जाते हैं आगे जाने दो, सबको पीछे छोडुंगा वक्त आने दो…"
"attitude","मैं हमदर्दी की ख़ैरातों के सिक्के मोड़ देता हूँ, जिस पर बोझ बन जाउँ, उसे मैं ख़ुद ही छोड़ देता हूँ।"
"attitude","चाँद हो या सूरज, चमकते सब हैं अपना वक़्त आने पर"
"attitude","जुबान खराब नहीं विचार कड़क है..रंगो में नही सोच में फर्क है…"
"attitude","कोई मुझसे जलता है ये भी मेरे लिए सफलता है.."
"attitude","शायद मै इसलिए पीछे हूँ, मुझे होशियारी नही आती!! बेशक लोग ना समझे मेरी वफादारी, मगर मुझे गद्दारी नहीं आती.."
"attitude","कोशिश करते रहिये, सफ़ल हुए तो घर वाले खुश और असफ़ल हुए तो पड़ोसी खुश!!"
"attitude","अगर फितरत हमारी सहने की नहीं होती तो हिम्मत तुम्हारी कुछ कहने की नहीं होती.."
"attitude","जब तक हम सहना नही छोड़ेंगे लोग कहना नहीं छोड़ेंगे"
"attitude","जो खुद को बहुत कुछ समझता है, मैं उसे कुछ नहीं समझता.."
"attitude","पसन्द आया तो दिल में… नही तो दिमाग में भी नहीं!!"
"attitude","मैं तो वक़्त से हारकर सर झुकाये खड़ा था और सामने खड़े लोग खुदको बादशाह समझने लगें!!"
"attitude","तराशिए ख़ुद को इस जहां में कुछ इस कदर… कि पाने वाले को नाज हो और खोने वाले को अफसोस।"
"attitude","कमजोर “वक़्त” है “रक्त” नहीं…!"
"attitude","तक़दिर हाथों में है, लकीरों में नहीं…"
"attitude","जिस दिन कामयाबी मिलेगी उस दिन मेरे ही चर्चे होंगे; उनके एक महिने की इनकम मेरे एक दिन के खर्चे होंगे…"
"attitude","जिन्हें मै छोड़ देता हूं, फिर उनका जिक्र खो देता हूं.."
"attitude","पहचान तो सबसे है हमारी, लेकिन भरोसा सिर्फ खुद पर हैं.."
"attitude","फासले ही बढ़ाये हैं लोगों ने… हौसला किसी ने नही बढ़ाया"
"attitude","इतना Attitude न दिखा ज़िंदगी में तकदीर बदलती रहती है, शीशा तो वहीं रहता है, पर तस्वीर बदलती रहती है।"
"attitude","जिनको मेरी फिक्र नहीं उनका अब कोई ज़िक्र नहीं.."
"attitude","अकेले है कोई गम नहीं, जहाँ इज्जत नही वहाँ हम नहीं…"
"attitude","बुराई ढूंढने का इतना ही शौक है, तो शुरुवात खुद से करें।"
"attitude","कमी नहीं दिखेगी कभी दुसरों की शान में; जिस दिन झांकेगा अपने गिरेबान में…"
"attitude","थका हुं थोड़ा रुका नही हुं, कोई इज्ज़त पे वार करे इतना झुका नही हुं.."
"attitude","शौक से करो बदनाम सरेआम फिर भी सबसे ऊपर होगा हमारा नाम!!"
"attitude","मेरे क़िरदार को मेरे आज से ना जानों, मै जब पौधा था तब भी बरगद था।"
"attitude","वसीयत अपने नाम लिखने से कुछ नही होता, ये तो उड़ान तय करती है कि आसमान किसका होगा।"
"attitude","अंदाजे से ना नापिये किसी की हस्ती को..ठहरे हुए दरिया अक्सर गहरे होते हैं"
"attitude","हम इतने खूबसूरत तो नही है, मगर हाँ..जिसे आँख भर के देख ले उसे उलझन में ड़ाल देते हैं।"
"attitude","हम आज भी अपने हुनर में दम रखते है, छा जाते हैं रंग जब हम महफिल में कदम रखते है!!"
"attitude","तुम्हारे छोड़ जाने के बाद जो इस दिल को मिला है, उसे सुकून कहते है.."
"attitude","प्यार करता हु इसलिए फ़िक्र करता हूँ, नफरत करुंगा तो जिक्र भी नही करुंगा!!"
"attitude","कर लो नज़र अंदाज अपने हिसाब से….जब हम करेंगे, तो बेहिसाब करेंगे."
"attitude","ज़िंदगी तुझसे हर कदम पर समझौता क्यों किया जाएं, शौक जीने का है, मगर इतना भी नहीं कि मर-मर के जिया जाएं।"
"attitude","ये मत सोचना के आस छोड़ दी है, बस अब मैंने तेरी तलाश छोड़ दी है…"
"attitude","मैं बस खुद को अपना मानता हूं, क्योंकि दुनिया कैसी है, अच्छे से जानता हूं…"
"attitude","शेर इलाका बदलता है, इरादा नहीं…"
"attitude","जब लोग बदल सकते हैं तो किस्मत क्या चीज़ हैं…"
"attitude","चुप रहना ताक़त हैं मेरी कमज़ोरी नहीं, अकेले रहना आदत हैं मेरी मजबूरी नहीं…"
"attitude","तू याद रख, या ना रख….तू याद है, ये याद रख!!"
"attitude","सबको लगता है मैं कमजोर हूं इसलिए देखो आज मैं कुछ और हूं.."
"attitude","जवाब देना तो हमे भी आता हैं लेकिन आप इस काबिल नहीं।"
"attitude","कोशिश इतनी ही होती है, की रुठे ना हमसे कोई! वरना नजरअंदाज करने वालों से नज़र हम भी नही मिलाते।"
"attitude","जुबान मेरी कड़वी मगर दिल साफ है, कौन कब बदला सबका हिसाब है।"
"attitude","बड़ी जीत का बड़ा शोर होगा तुम्हारा सिर्फ वक़्त है, हमारा दौर होगा…"
"attitude","जो न देते थे जवाब उनके सलाम आने लगे, वक़्त बदला तो मेरे नीम पे आम आने लगे.."
"attitude","पसंद है मुझे उन लोगों से हारना जो लोग मेरे हारने की वजह से पहली बार जीते हो!"
"attitude","कितनी भी सजा दो काफी नहीं होती, कुछ गलतियां ऐसी होती है जिनकी माफी नहीं होती।"
"attitude","खुद में झांकने के लिए जिगर चाहिए, दुसरों की शिनाख्त में तो हर शख्स माहिर होता है।"
"attitude","हद से बढ़ जाए ताल्लुक तब गम मिलते हैं, हम इसी वास्ते हर शख्स से कम मिलते हैं!!"
"attitude","मेरी फितरत समझने के लिए बस इतना जान लो, जो शख़्स एक बार मेरी नज़र से उतर गया फिर मुझे फर्क नही पड़ता वो किधर गया।"
"attitude","उस मोड़ से शुरू करनी है फिर से जिंदगी, जहाँ सारा शहर अपना था और तुम अजनबी…"
"attitude","नफरत है गुरुर नहीं, दुबारा इश्क़ मंजूर नहीं.."
"attitude","मुझे मत मिलाओ किसी और में, मुझसा कोई नही है इस दौर में।"
"attitude","कोई जान भी ले ले हराकर, मुझको मंज़ूर है, धोखा देने वालों को मैं दूसरा मौका नहीं देता।"
"attitude","अभी तो अच्छे लोगों चा राज है दुनिया में, जब कमिनों की बारी आएगी तो बादशाह हम होंगे।"
"attitude","हम समंदर हैं, हमें खामोश ही रहने दो…. ज़रा मचल गये, तो शहर ले डूबेंगे…"
"attitude","ज़हां से तेरी बादशाही खत्म होंती है, वहां से मेरी नवाबी शुरु होती है..!"
"attitude","अपने साथ जब मैं खुद खड़ा होता हूँ, तब मैं क़यामत के हर तूफ़ान से बड़ा होता हूँ।"
"attitude","हम को मिटा सके ये ज़माने में दम नहीं, हमसे ज़माना खुद है..ज़माने से हम नहीं- जिगर मुरादाबादी"
"attitude","जरूरी नहीं की सबकी नज़रों में अच्छे ही बनों, कुछ लोगों की नज़रों में खटकने का मज़ा ही कुछ और है।"
"attitude","तू सचमुच जुड़ा है अगर मेरी जिंदगी के साथ.. तो क़ुबूल कर मुझे मेरी हर कमी के साथ…"
"attitude","मुफ्त में नही सीखा उदासी मे मुस्कुराने का हुनर, इसके बदले ज़िन्दगी की हर खुशी तबाह की है"
"attitude","हम दुश्मनों को भी बड़ी शानदार सजा देते हैं, हात नहीं उठाते बस नज़रों से गिरा देते हैं।"
"attitude","किसीकी क्या मजाल जो खरीद सकता हमको, वो तो हम ही बिक गये खरीददार देख के!"
"attitude","जँहा से तुम्हारी बादशाही खत्म होती है, वहां से हमारी नवाबी शुरू होती हे….!!"
"attitude","तारीफ़ अपने आप की, करना फ़िज़ूल है, ख़ुशबू तो खुद ही बता देती है, कौन सा फूल है.."
"attitude","तेवर तो हम वक्त आने पर दिखायेंगे…शहर तुम खरीदलो उस पर हुकुमत हम चलायेंगे…!!!"
"attitude","करीब रहने से नाम बदनाम है, इसलिए अब दूर से ही सलाम है।"
"attitude","दूर हो जाने की तलब है तो शौक से जा बस याद रहे की मुड़कर देखने की आदत इधर भी नही!!"
"attitude","“हमारा अंदाजा कोइ ना लगाए तो ही ठीक रहेगा.. क्योकी अंदाजा तो बारिश का लगाया जाता है, तुफान का नहीं”"
"attitude","वक्त ही तो है बदल जाएगा, आज तेरा है कल मेरा होगा.."
"attitude","मैं तेरे नसीब की बारिश नहीं जो तुझ पर बरस जाऊ, तुझे तक़दिर बदलनी होगी मुझे पाने के लिए!!"
"attitude","खून मे ऊबाल वो आज भी खानदानी है दुनिया हमारे शौक की नहीं, हमारे तेवर की दिवानी है!!"
"attitude","हम मोहब्बत में no.1 तो attitude में star है…"
"attitude","फिर सामने हुस्न की मलिका हो या दुश्मन, सब अपने ही fan है”"
"attitude","बहुत देखा जीवन में समझदार बनकर, लेकिन खुशी हमेशा पागलपन से ही मिली.."
"attitude","मेरी हिम्मत को परखने की गुस्ताखी न करना, पहले भी कई तूफानों का रुख मोड़ चुका हूँ मैं।"
"attitude","हर बार माफ़ी मांगता हूँ तो ये मत समझना की ग़लती मेरी है..बस तुझसे जुदा होंने से डर लगता हैं”"
"attitude","“प्यार से बात करोगे तो प्यार ही पाओगे, अगर अकड़ के बात की तो मेरी Block List में नज़र आओगे।"
"attitude","हथियार तो शौक के लिए रखे जाते हैं, खौफ के लिए तो हमारी आँखें ही काफी हैं।"
"attitude","हमारी ताकत का अंदाजा हमारे जोर से नही..दुश्मन के शोर से पता चलता है!!"
"attitude","वो सुना रहे थे अपनी वफाओं के किस्से.. हम पर नज़र पड़ी तो खामोश हो गए।"
"attitude","“मत करो मेरी पीठ के पीछे बात जाकर कोने में… वरना जिंदगी बीत जाएगी बस रोने में”"
"attitude","कौन है इस जहाँ मे जिसे धोखा नहीं मिला, शायद वही है ईमानदार जिसे मौक़ा नहीं मिला…"
"attitude","“वो पसंद ही क्या? जिसको पसंद आने के लिए खुद को बदलना पड़े…”"
"attitude","हम तो हद से गुजर गए थे तुम्हे चाहने में …. तुम्ही उलझे रहे हमे आजमाने में.."
"attitude","“तुम्हें लगता है कि गलत हूँ मैं, तो सही हो तुम…क्योंकि थोड़ा अलग हूँ मै…”"
"attitude","रियासते तो आती जाती रहती हैं मगर बादशाही करना तो….आज भी लोग हमसे सीखते हैं!!"
"attitude","जो दौर गुजरता नहीं, हम उस दौर से गुजरे है।"
"attitude","ज़िद पर आ जाऊं तो पलट के भी ना देखुं मेरे सब्र से अभी तू वाकिफ़ कहा है।"
"attitude","“दौलत तो विरासत में मिलती है, लेकिन पहचान अपने दम पर बनानी पड़ती है”"
"attitude","करीब रहने से नाम बदनाम है, इसलिए अब दूर से ही सलाम है।"
"attitude","अपने कद का अंदाज़ा हमें भी है लाड़ले, हम परछाई देख कर गुरुर नही करते।"
"attitude","फर्क बहुत है तेरी और मेरी तालीम में, तूने उस्तादों से सीखा है और मैंने हालातो से…"
"attitude","तुम अगर सोचते हो कि मैं बुरा हूँ ! तो तुम गलत सोचते हो, मैं बहुत बुरा हूँ !!"
"attitude","ज़िन्दगी का कोई रिमोट नहीं होता ! जागो उठो और इसे खुद बदलो !!"
"attitude","अगर लोग आपको नीचे गिराना चाहते हैं ! तो इसका मतलब आप उनसे ऊपर हैं !!"
"attitude","खुदा मेरे दुश्मनों को लम्बी उम्र दें ! ताकि वो मेरी क़ामयाबी देख सकें !"
"attitude","अगर कोई चुप है तो इसका मतलब ये नहीं कि उसे बोलना नहीं आता !हो सकता है वो थप्पड़ मारने में यकीन रखता हो !!"
"attitude","हम न बदलेंगे वक़्त की रफ़्तार के साथ ! जब भी मिलेंगे अंदाज़ पुराना ही होगा !!"
"attitude","जिनमें अकेले चलने का हौसला होता है ! उनके पीछे एक दिन क़ाफ़िला होता है !!"
"attitude","मुझे समझने के लिये ! आपका समझदार होना ज़रूरी है !!"
"attitude","सही वक़्त पर करवा देंगे हदों को अहसास ! कुछ तालाब खुद को समन्दर समझ बैठे हैं !!"
"attitude","इतना अमीर नहीं हूँ कि सब कुछ खरीद लूँ ! लेकिन इतना गरीब भी नहीं हूँ कि खुद बिक जाऊं !!"
"love","मैंने ज़ब भी जाने की इजाज़त मांगी, उन्होने ज़ुबां से हां कह के निगाहों से रोक लिया !!"
"love","पहली मुलाकात थीं और हम दोनों ही बेबस थें.. वो जुल्फ़ें न संभाल सकें और हम ख़ुद को !!"
"love","रिश्ता उसी से बनाना जो जानता हो उसे निभाना…"
"love","मेरी चाहतें तुमसे अलग कब है, दिल की बातें तुमसे छुपी कब है"
"love","वो रब ही जाने क्यूं तुम हाथों पे मेहंदी लगाती हो, बड़ी ना-समझ हो.. फूलों पर पत्तों के रंग चढ़ाती हो"
"love","पूछ लेते वो बस मिज़ाज मेरा; कितना आसान था इलाज मेरा…"
"love","बड़े परहेज़ वाले हो गऐ हो.. हमें याद करना भी गुनाह समझते हो!"
"love","यूं सामने आ कर बैठा ना कीजिये, सब्र तो सब्र ही है हर बार नहीं होता…"
"love","हर तमन्ना जब दिल से रुख़सत हो गयी, यक़ीन मानिए फुर्सत ही फुर्सत हो गयी.."
"love","बेवफा कहने से पहले मेरी रग-रग का खून निचोड़ लेना, कतरे-कतरे से वफ़ा ना मिले तो बेशक मुझे छोड़ देना!"
"love","लफ़्ज़ों की तमहीद बाँधनी मुझे नहीं आती, शिद्दत से याद आते हो, सीधी सी बात है…"
"love","आज एक ज़माने बाद उनको हमारी याद आयी, दिल खुश तो हुआ लेकिन फिर भी आँखें भर आयी…"
"love","यू ही नहीं आती मस्ती दिल में जनाब, मस्त रहना है तो दिल से इश्क कीजिए!!"
"love","तेरे प्यार की हीफ़ाजत, कुछ इस तरह की हमने। जब भी किसी ने प्यार से देखा, तो नजरें झुका दी हमने।"
"love","इस बार मिलने की शर्त ये रखेंगे, दोनों अपनी घड़ियां उतार फैकेंगे !!"
"love","वो दुआ ही क्या जिसमें तुम्हारा इज़हार ना हो"
"love","रंग भी उसी का चढ़ा है अब तक, जिसने रंग लगाया नहीं अब तक!"
"love","याद आयेगी हमारी तो बीते कल को पलट लेना, यूं ही किसी पन्ने में मुस्कुराते हुएं मिल जायेंगे.."
"love","तुम्हारा याद आना भी कमाल होता है, कभी तो आ कर देखो, हमारा क्या हाल होता है.."
"love","वजूद की तलब ना कर…हक है तेरा! रूह तक सफर तो कर.."
"love","ख़ुशियों कि आरज़ू में मुक़द्दर सो गयें, आँधी ऐसी चली कि अपने भी खो गये।"
"love","काश ये ख़्वाहिश पूरी हो इबादत के बग़ैर, वो आकर गले लग जाएं इजाज़त के बग़ैर…"
"love","सारी दुनिया की खबर रखते हो, बस मुझसे ही बेखबर रहते हो.."
"love","अंदर की ख्वामोशी से साँसो के ठहर जाने तक़, मुझे याद रहेगा वो अज़नबी मेरे मर जाने तक़.."
"love","नहीं खोना है तुम्हें, इसलिए पाने की कोई ज़िद भी नहीं;"
"love","बहुत खास हो ‘तुम’…ज़िक्र हर बार ज़रुरी नहीं.."
"love","जरूरी तो नहीं कि, नज़दीकियों में ही प्यार हो; फ़ासलों में भी इश्क़ की बुलंदियाँ देखी है हमनें"
"love","प्यार के दामन में लिपटे हम, कहां तक आ गए, हम नज़र तक़ चाहते थें, तुम तो दिल पर छा गए.."
"love","रूह से जुड़े रिश्तों पर फरिश्तों के पहरे होते हैं! कोशिशें कर लो तोड़ने की, ये और भी गहरे होते हैं.."
"love","फिर ना कहना कि हमें फुर्सत नहीं थी, हम तो आये, पर शायद तुम्हें ज़रूरत नही थी!"
"love","क्या खूब था उनका अंदाज़-ए-मोहब्बत, प्यार देने आए और पलकें भिगो कर चले गये.."
"love","सँवर रहीं है आज वो किसी और के लिए, हम आज भी बिखरे हुए है उनके लिए…"
"love","आँख बंद करके चलाना खंजर हम पे, कही हमने मुस्कुरा दिया, तो कत्ल तुम्हारा ही होगा.."
"love","सोए अरमानों को तू जगा के तो देख़, सारे हक हैं तुझे, बस जता के तो देख़…"
"love","रो-रो के इश्क को ना तमाशा बनाईये जीने की आरज़ू है तो धोखे भी खाईये!"
"love","जरा से बदमाश और जरा से नादान हो तुम, लेकिन ये भी सच है के हमारी जान से बढ़कर हो तुम।"
"love","हिचकिया मेरी गवाह है, नींदे उसकी भी तबाह है!"
"love","किस्तों में मौत आ रही है तेरे चुप हो जाने से, हो सके तो बात कर किसी बहाने से.."
"love","तम़ाम अल्फ़ाज़ तेरे बिन बेमतलब हैं, चंद कहानियाँ तेरे बिन अधूरी हैं…"
"love","मोहताज नहीं वो किसी गुलाब की.. वो तो खुद बाग़बान है इस कयामत की…."
"love","मेरी एक चाहत है कि एक चाहने वाला ऐसा हो, जो चाहने में बिल्कुल मेरे ही जैसा हो.."
"love","मोहब्बत किससे और कब हो जाये अदांजा नहीं होता, ये वो घर है जिसका दरवाजा नहीं होता।"
"love","तुम्हारी जुल्फ़ों के साये में ही शाम कर लूंगा, सफ़र इस उम्र का पल में ही तमाम कर लूंगा.."
"love","सुलगती रेत पर पानी की अब तलाश नहीं, मगर ये कब कहां हमने कि हमें प्यास नहीं.."
"love","तुम को लिख पाना, कहाँ मुमकिन है इतने खूबसुरत तो, लफ़्ज भी नहीं मेरे पास"
